LPN,Employee Status,Grade,Rank Name,Service Line,Sub Service Line,Region,Country/Region,Event,Event Reason,Exit Date,Start Date,Most Recent Hire Date,Last Promotion Date,Gender,Date of Birth,Marital Status,No of Dependents,Education,Experience_In_Months_x,Companies_Switched_x,Previous Relevant Work Experience (Y/N)_x,Count_Certifications,Experience_In_Months_y,Companies_Switched_y,Previous Relevant Work Experience (Y/N)_y
2051968,Terminated,7,Manager,Service Line 1,Sub Service Line 1,Region 4,India,Termination,Separation,2022-01-15 00:00:00.000000,2014-11-05 00:00:00.000000,2014-11-05 00:00:00.000000,2019-10-01 00:00:00.000000,Gender 2,1993-07-24 00:00:00.000000,Status 1,,,,,,,,,
1603404,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 5,India,Termination,Separation,2021-08-17 00:00:00.000000,2012-11-12 00:00:00.000000,2012-11-12 00:00:00.000000,2018-10-01 00:00:00.000000,Gender 2,1990-04-13 00:00:00.000000,Status 2,,Bachelor's Degree,,,,1.0,,,
1611078,Terminated,7,Manager,Service Line 5,Sub Service Line 10,Region 4,India,Termination,Separation,2021-05-08 00:00:00.000000,2016-07-07 00:00:00.000000,2016-07-07 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 1,1994-08-24 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
2050252,Terminated,7,Manager,Service Line 2,Sub Service Line 3,Region 3,India,Termination,Separation,2021-09-01 00:00:00.000000,2019-06-24 00:00:00.000000,2019-06-24 00:00:00.000000,,Gender 1,1987-09-05 00:00:00.000000,Status 1,,,,,,,,,
1609230,Terminated,7,Manager,Service Line 2,Sub Service Line 3,Region 2,India,Termination,Separation,2022-02-15 00:00:00.000000,2015-11-23 00:00:00.000000,2015-11-23 00:00:00.000000,,Gender 2,1994-03-26 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
1620028,Terminated,7,Manager,Service Line 3,Sub Service Line 7,Region 5,India,Termination,Separation,2021-06-18 00:00:00.000000,2021-01-18 00:00:00.000000,2021-01-18 00:00:00.000000,,Gender 1,1987-05-20 00:00:00.000000,Status 1,,,,,,1.0,,,
1619014,Terminated,7,Manager,Service Line 3,Sub Service Line 7,Region 3,India,Termination,Separation,2021-04-24 00:00:00.000000,2020-06-08 00:00:00.000000,2020-06-08 00:00:00.000000,,Gender 1,1984-03-18 00:00:00.000000,Status 1,,,,,,,,,
2052072,Terminated,7,Manager,Service Line 3,Sub Service Line 6,Region 1,India,Termination,Separation,2021-08-28 00:00:00.000000,2011-07-04 00:00:00.000000,2011-07-04 00:00:00.000000,2017-10-01 00:00:00.000000,Gender 1,1990-01-10 00:00:00.000000,Status 1,,,,,,,,,
1617414,Terminated,7,Manager,Service Line 5,Sub Service Line 11,Region 1,India,Termination,Separation,2021-05-01 00:00:00.000000,2019-10-28 00:00:00.000000,2019-10-28 00:00:00.000000,,Gender 1,1987-08-15 00:00:00.000000,Status 1,,Bachelor's Degree,,,,,,,
1614429,Terminated,7,Manager,Service Line 3,Sub Service Line 7,Region 5,India,Termination,Separation,2022-03-19 00:00:00.000000,2018-06-18 00:00:00.000000,2018-06-18 00:00:00.000000,,Gender 1,1986-10-31 00:00:00.000000,Status 1,1.0,Bachelor's Degree,,,,1.0,,,
1608417,Terminated,7,Manager,Service Line 2,Sub Service Line 4,Region 1,India,Termination,Separation,2021-09-04 00:00:00.000000,2015-07-23 00:00:00.000000,2015-07-23 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 1,1993-09-21 00:00:00.000000,Status 1,,Bachelor's Degree,,,,2.0,,,
1605330,Terminated,7,Manager,Service Line 2,Sub Service Line 4,Region 3,India,Termination,Separation,2021-09-01 00:00:00.000000,2013-12-04 00:00:00.000000,2013-12-04 00:00:00.000000,2019-10-01 00:00:00.000000,Gender 2,1993-05-14 00:00:00.000000,Status 1,,Bachelor's Degree,,,,2.0,,,
2045522,Terminated,7,Manager,Service Line 2,Sub Service Line 5,Region 4,India,Termination,Separation,2021-07-03 00:00:00.000000,2012-07-03 00:00:00.000000,2012-07-03 00:00:00.000000,2018-10-01 00:00:00.000000,Gender 2,1990-04-18 00:00:00.000000,Status 1,,,,,,,,,
1605764,Terminated,7,Manager,Service Line 2,Sub Service Line 3,Region 3,India,Termination,Separation,2021-06-04 00:00:00.000000,2021-02-08 00:00:00.000000,2021-02-08 00:00:00.000000,,Gender 1,1992-12-08 00:00:00.000000,Status 1,1.0,Bachelor's Degree,85.0,2,Yes,,85.0,2,Yes
1617310,Terminated,7,Manager,Service Line 4,Sub Service Line 9,Region 1,India,Termination,Separation,2021-11-06 00:00:00.000000,2019-09-16 00:00:00.000000,2019-09-16 00:00:00.000000,,Gender 1,1984-09-05 00:00:00.000000,Status 1,,,,,,,,,
1605334,Terminated,7,Manager,Service Line 1,Sub Service Line 1,Region 1,India,Termination,Separation,2021-05-08 00:00:00.000000,2013-12-04 00:00:00.000000,2016-05-20 00:00:00.000000,2019-10-01 00:00:00.000000,Gender 2,1991-11-26 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
1620705,Terminated,7,Manager,Service Line 2,Sub Service Line 3,Region 5,India,Termination,Separation,2021-11-30 00:00:00.000000,2021-07-19 00:00:00.000000,2021-07-19 00:00:00.000000,,Gender 1,1989-10-17 00:00:00.000000,Status 1,,,,,,,,,
1621759,Terminated,7,Manager,Service Line 4,Sub Service Line 9,Region 5,India,Termination,Separation,2022-02-15 00:00:00.000000,2021-11-29 00:00:00.000000,2021-11-29 00:00:00.000000,,Gender 1,1992-05-04 00:00:00.000000,Status 1,,,,,,,,,
